"Country","Month","Year","region","New_cases","New_deaths","Cumulative_cases","Cumulative_deaths"
"American Samoa",1,2020,"East Asia & Pacific",0,0,0,0
"Australia",1,2020,"East Asia & Pacific",9,0,9,0
"Brunei Darussalam",1,2020,"East Asia & Pacific",0,0,0,0
"Cambodia",1,2020,"East Asia & Pacific",1,0,1,0
"China",1,2020,"East Asia & Pacific",9720,213,9720,213
"Cook Islands",1,2020,"East Asia & Pacific",0,0,0,0
"Democratic People's Republic of Korea",1,2020,"East Asia & Pacific",0,0,0,0
"Fiji",1,2020,"East Asia & Pacific",0,0,0,0
"French Polynesia",1,2020,"East Asia & Pacific",0,0,0,0
"Guam",1,2020,"East Asia & Pacific",0,0,0,0
"Indonesia",1,2020,"East Asia & Pacific",0,0,0,0
"Japan",1,2020,"East Asia & Pacific",12,0,12,0
"Kiribati",1,2020,"East Asia & Pacific",0,0,0,0
"Lao People's Democratic Republic",1,2020,"East Asia & Pacific",0,0,0,0
"Malaysia",1,2020,"East Asia & Pacific",8,0,8,0
"Marshall Islands",1,2020,"East Asia & Pacific",0,0,0,0
"Micronesia (Federated States of)",1,2020,"East Asia & Pacific",0,0,0,0
"Mongolia",1,2020,"East Asia & Pacific",0,0,0,0
"Myanmar",1,2020,"East Asia & Pacific",0,0,0,0
"Nauru",1,2020,"East Asia & Pacific",0,0,0,0
"New Caledonia",1,2020,"East Asia & Pacific",0,0,0,0
"New Zealand",1,2020,"East Asia & Pacific",0,0,0,0
"Niue",1,2020,"East Asia & Pacific",0,0,0,0
"Northern Mariana Islands (Commonwealth of the)",1,2020,"East Asia & Pacific",0,0,0,0
"Palau",1,2020,"East Asia & Pacific",0,0,0,0
"Papua New Guinea",1,2020,"East Asia & Pacific",0,0,0,0
"Philippines",1,2020,"East Asia & Pacific",1,0,1,0
"Pitcairn Islands",1,2020,"East Asia & Pacific",0,0,0,0
"Republic of Korea",1,2020,"East Asia & Pacific",11,0,11,0
"Samoa",1,2020,"East Asia & Pacific",0,0,0,0
"Singapore",1,2020,"East Asia & Pacific",13,0,13,0
"Solomon Islands",1,2020,"East Asia & Pacific",0,0,0,0
"Thailand",1,2020,"East Asia & Pacific",23,0,23,0
"Timor-Leste",1,2020,"East Asia & Pacific",0,0,0,0
"Tokelau",1,2020,"East Asia & Pacific",0,0,0,0
"Tonga",1,2020,"East Asia & Pacific",0,0,0,0
"Tuvalu",1,2020,"East Asia & Pacific",0,0,0,0
"Vanuatu",1,2020,"East Asia & Pacific",0,0,0,0
